Sentence,Label,Emotion
I love the way this turned out!,Positive,Happy
I'm really annoyed with this.,Negative,Angry
I don't feel strongly about this.,Neutral,Neutral
I'm really upset about this.,Negative,Angry
Everything is going so well!,Positive,Happy
This is quite ordinary.,Neutral,Neutral
This is just fine.,Neutral,Neutral
I'm in a great mood!,Positive,Happy
This is just awful.,Negative,Angry
This news made my day!,Positive,Happy
This is so frustrating.,Negative,Angry
I feel neutral about this.,Neutral,Neutral
This is awesome!,Positive,Positive
This news made my day!,Positive,Happy
This is an average day.,Neutral,Neutral
So frustrating...,Negative,Frustrated
I'm feeling so-so.,Neutral,Neutral
This situation is pretty neutral.,Neutral,Neutral
I'm indifferent about this.,Neutral,Neutral
I can't stand this.,Negative,Angry
Life is good.,Positive,Relaxed
This is a standard outcome.,Neutral,Neutral
I'm really annoyed with this.,Negative,Angry
Everything is going so well!,Positive,Happy
This is just fine.,Neutral,Neutral
I'm thrilled with the outcome!,Positive,Happy
I'm really annoyed with this.,Negative,Angry
I hate how this turned out.,Negative,Angry
Everything is going wrong.,Negative,Angry
This situation is terrible.,Negative,Angry
I can't believe this happened.,Negative,Angry
I'm feeling okay.,Neutral,Neutral
I hate how this turned out.,Negative,Angry
Not happy with this.,Negative,Angry
This is absolutely amazing!,Positive,Happy
This is a nightmare.,Negative,Angry
I'm extremely pleased with this!,Positive,Happy
I don't feel strongly about this.,Neutral,Neutral
This is just awful.,Negative,Angry
This is just normal.,Neutral,Neutral
I feel so angry right now.,Negative,Angry
This is a standard outcome.,Neutral,Neutral
I'm overjoyed with this!,Positive,Happy
I'm thrilled with the outcome!,Positive,Happy
I couldn't be happier!,Positive,Happy
I couldn't be happier!,Positive,Happy
I hate how this turned out.,Negative,Angry
This is neither good nor bad.,Neutral,Neutral
I'm overjoyed with this!,Positive,Happy
This is beyond disappointing.,Negative,Angry
This is so delightful!,Positive,Happy
This is a disaster.,Negative,Angry
Today is just another day.,Neutral,Neutral
